group,section,condition,enum,id,type,name,min,max,default,unit,access,read_roles,write_roles,persistent,desc,comment
CHANNEL 1,Channel 1 control,,ePAR_CH1_CTRL,0,U8,Ch1 Control,0,2,2,,RW,ALL,ALL,0,Channel 1 control: 0-Normal | 1-Short | 2-Open. NOTE: If status is <Not Connected> then it will force to Open!,
CHANNEL 1,Channel 1 control,,ePAR_CH1_AFE_MEAS_EN,1,U8,Ch1 AFE Measurement Control,0,1,1,,RW,ALL,ALL,1,Channel 1 control AFE measurement usage for calculations: 0-Disable | 1-Enable,
CHANNEL 1,Channel 1 control,,ePAR_CH1_TEST_MODE_EN,2,U8,Ch1 Test Mode,0,1,0,,RW,ALL,ALL,0,Channel 1 test mode enable: 0-Disable | 1-Enable. NOTE: This will put channel to Normal state - ignoring detection logic!,
CHANNEL 1,Channel 1 control,,ePAR_CH1_REF_SEL,3,U8,Ch1 Reference Selection,0,4,0,,RW,ALL,ALL,1,Channel 1 reference selection: 0-Temperature | 1-Resistance | 2-Vout | 3-Isink | 4-Vset,
CHANNEL 1,Channel 1 control,,ePAR_CH1_REF_VAL,4,F32,Ch1 Reference Value,-1E6,1E6,0.0,,RW,ALL,ALL,1,Channel 1 reference value based on control variable set,
CHANNEL 1,Channel 1 status,,ePAR_CH1_STATUS,10,U8,Ch1 Status,0,3,3,,RO,ALL,NONE,0,Channel 1 status. 0-Normal | 1-Short | 2-Open | 3-Not Connected,
CHANNEL 1,Channel 1 status,,ePAR_CH1_FSM_STATE,11,U8,Ch1 FSM State,0,3,0,,RO,ALL,NONE,0,Channel 1 FSM state. 0-Idle | 1-Measure Vcc | 2-Measure Res | 3-Normal,
CHANNEL 1,Channel 1 reference values,,ePAR_CH1_TSIM,21,F32,Ch1 Ref Temperature,-20.0,350.0,0.0,degC,RO,ALL,NONE,0,Channel 1 temperature in degree C,
CHANNEL 1,Channel 1 reference values,,ePAR_CH1_RSIM,22,F32,Ch1 Ref Resistance,920.0,2300.0,920.0,ohm,RO,ALL,NONE,0,Channel 1 resistance reference in ohm,
CHANNEL 1,Channel 1 reference values,,ePAR_CH1_VOUT,23,F32,Ch1 Ref Vout,0.85,1.58,0.85,V,RO,ALL,NONE,0,Channel 1 output voltage in V,
CHANNEL 1,Channel 1 reference values,,ePAR_CH1_ISINK,24,F32,Ch1 Ref Isink,658.5,950.0,658.5,uA,RO,ALL,NONE,0,Channel 1 sink current reference in uA,
CHANNEL 1,Channel 1 reference values,,ePAR_CH1_VSET,25,F32,Ch1 Ref Vset,1.7955,2.548,1.7955,V,RO,ALL,NONE,0,Channel 1 Vset (reference) voltage in V,
CHANNEL 1,Channel 1 reference values,,ePAR_CH1_VTH,26,F32,Ch1 Ref Vth,0.0,3.3,0.0,V,RO,ALL,NONE,0,Channel 1 Vth (thevenin) voltage in V. Equivalent circuit from both DAC combined.,
