group,section,condition,enum,id,type,name,min,max,default,unit,access,read_roles,write_roles,persistent,desc,comment
TEST,runtime,,ePAR_TEST_U8_RW,AUTO,U8,Test U8 RW,10,20,12,cnt,RW,ALL,ALL,1,Runtime test U8 read-write scalar,
TEST,runtime,,ePAR_TEST_U8_RO,AUTO,U8,Test U8 RO,1,3,2,cnt,RO,ALL,NONE,1,Runtime test U8 read-only scalar,
TEST,runtime,,ePAR_TEST_U16_RW,AUTO,U16,Test U16 RW,100,200,120,ms,RW,ALL,ALL,1,Runtime test U16 scalar,
TEST,runtime,,ePAR_TEST_U32_RW,AUTO,U32,Test U32 RW,1000,2000,1200,Hz,RW,ALL,ALL,1,Runtime test U32 scalar,
TEST,runtime,,ePAR_TEST_I16_RW,AUTO,I16,Test I16 RW,-100,100,0,mV,RW,ALL,ALL,1,Runtime test I16 scalar,
TEST,runtime,,ePAR_TEST_I32_RW,AUTO,I32,Test I32 RW,-1000,1000,0,ppm,RW,ALL,ALL,1,Runtime test I32 scalar,
TEST,runtime,,ePAR_TEST_F32_RW,AUTO,F32,Test F32 RW,-10.0,10.0,1.25,V,RW,ALL,ALL,1,Runtime test F32 scalar,
TEST,runtime,,ePAR_TEST_STR_RW,AUTO,STR,Test STR RW,0,8,ap,,RW,ALL,ALL,1,Runtime test string object,
TEST,runtime,,ePAR_TEST_BYTES_RW,AUTO,BYTES,Test BYTES RW,4,4,0x00 0x11 0x22 0x33,,RW,ALL,ALL,1,Runtime test byte-array object,
TEST,runtime,,ePAR_TEST_ARR_U8_RW,AUTO,ARR_U8,Test ARR U8 RW,4,4,1 2 3 4,,RW,ALL,ALL,1,Runtime test uint8 array object,
TEST,runtime,,ePAR_TEST_ARR_U16_RW,AUTO,ARR_U16,Test ARR U16 RW,3,3,100 200 300,,RW,ALL,ALL,1,Runtime test uint16 array object,
TEST,runtime,,ePAR_TEST_ARR_U32_RW,AUTO,ARR_U32,Test ARR U32 RW,2,2,1000 2000,,RW,ALL,ALL,1,Runtime test uint32 array object,
TEST,runtime,defined(AUTOGEN_PM_TEST_USING_AT24CXX),ePAR_TEST_AT24_U16_RW,477,U16,Test AT24 U16 RW,10,100,30,nvm,RW,ALL,ALL,1,Runtime test AT24 persistent scalar,
